 .94410910E+03  .28930180E+06  .97816340E+03  .77695280E+04  .26254310E+07  .19123010E+00
 .10000000E+02  .60000000E+01  .20000000E+01  .14000000E+02  .15000000E+02  .10177530E+05
 .97816340E+03  .34227400E+03  .28930180E+06  .23761750E+07 -.46739850E-01  .41893870E+04
 .98070680E+03  .33772790E+03  .27026200E+06  .23778580E+07 -.44094890E-01  .41869620E+04
 .98310190E+03  .33323980E+03  .25147520E+06  .23769600E+07 -.41443210E-01  .41848580E+04
 .98534820E+03  .32880920E+03  .23293810E+06  .23733690E+07 -.38781130E-01  .41830490E+04
 .98744510E+03  .32443590E+03  .21464750E+06  .23669670E+07 -.36104790E-01  .41815190E+04
 .98939160E+03  .32011920E+03  .19660020E+06  .23576240E+07 -.33409380E-01  .41802660E+04
 .99118650E+03  .31585890E+03  .17879310E+06  .23452020E+07 -.30688340E-01  .41793040E+04
 .99282810E+03  .31165450E+03  .16122290E+06  .23295590E+07 -.27932430E-01  .41786640E+04
 .99431400E+03  .30750560E+03  .14388670E+06  .23105570E+07 -.25129120E-01  .41784020E+04
 .99564140E+03  .30341190E+03  .12678130E+06  .22880750E+07 -.22262220E-01  .41785990E+04
 .99564140E+03  .30341190E+03  .12678130E+06  .22880750E+07 -.22262220E-01  .41785990E+04
 .99837930E+03  .29271690E+03  .82076540E+05  .22102230E+07 -.14105730E-01  .41823500E+04
 .99981710E+03  .28241650E+03  .38946500E+05  .21076900E+07 -.48234040E-02  .41938700E+04
 .99973330E+03  .27252010E+03 -.26685900E+04  .19863440E+07  .63285050E-02  .42195350E+04
 .99777470E+03  .26305220E+03 -.42830930E+05  .18596030E+07  .20362890E-01  .42700360E+04
 .99342360E+03  .25405810E+03 -.81607890E+05  .17504250E+07  .38402150E-01  .43625080E+04
 .10223240E-02  .34227400E+03  .28930180E+06  .71818840E-05 -.76600130E-03  .41893870E+04
 .52293020E+01  .34227400E+03  .26254310E+07  .15465840E-03 -.76600130E-03  .19342560E+04
 .19123010E+00  .34227400E+03  .26254310E+07  .20806980E+06 -.10216150E-03  .19342560E+04
 .18560210E+00  .35233530E+03  .26448780E+07  .21418590E+06 -.98859000E-04  .19317560E+04
 .18015560E+00  .36270360E+03  .26648980E+07  .22046300E+06 -.95678880E-04  .19300910E+04
 .17488400E+00  .37338400E+03  .26855070E+07  .22690360E+06 -.92612240E-04  .19292490E+04
 .16978110E+00  .38438150E+03  .27067230E+07  .23351010E+06 -.89651340E-04  .19292130E+04
 .16484120E+00  .39570070E+03  .27285640E+07  .24028460E+06 -.86789510E-04  .19299660E+04
 .16005890E+00  .40734630E+03  .27510480E+07  .24722900E+06 -.84020990E-04  .19314880E+04
 .15542920E+00  .41932270E+03  .27741930E+07  .25434480E+06 -.81340780E-04  .19337570E+04
 .15094720E+00  .43163420E+03  .27980180E+07  .26163350E+06 -.78744570E-04  .19367500E+04
 .14660830E+00  .44428500E+03  .28225420E+07  .26909620E+06 -.76228650E-04  .19404430E+04
 .14240810E+00  .45727910E+03  .28477840E+07  .27673410E+06 -.73789790E-04  .19448140E+04
 .13834250E+00  .47062060E+03  .28737640E+07  .28454790E+06 -.71425140E-04  .19498380E+04
 .13440720E+00  .48431320E+03  .29005000E+07  .29253870E+06 -.69132230E-04  .19554930E+04
 .13059830E+00  .49836060E+03  .29280140E+07  .30070700E+06 -.66908830E-04  .19617570E+04
 .13059830E+00  .49836060E+03  .29280140E+07  .30070700E+06 -.66908830E-04  .19617570E+04
 .12284470E+00  .52967410E+03  .29896790E+07  .31881110E+06 -.62369310E-04  .19771330E+04
 .11561800E+00  .56266760E+03  .30552030E+07  .33773810E+06 -.58122570E-04  .19950220E+04
 .10888410E+00  .59737280E+03  .31247880E+07  .35749210E+06 -.54153410E-04  .20152590E+04
 .10261060E+00  .63381880E+03  .31986420E+07  .37807650E+06 -.50447900E-04  .20377020E+04
 .96766630E-01  .67203220E+03  .32769750E+07  .39949490E+06 -.46992870E-04  .20622190E+04
 .91322840E-01  .71203720E+03  .33600010E+07  .42175140E+06 -.43775640E-04  .20886830E+04
 .86251460E-01  .75385600E+03  .34479360E+07  .44485180E+06 -.40783930E-04  .21169540E+04
 .81526150E-01  .79750900E+03  .35410000E+07  .46880410E+06 -.38005820E-04  .21468750E+04
 .77121980E-01  .84301650E+03  .36394130E+07  .49361990E+06 -.35429760E-04  .21782550E+04
 .73015370E-01  .89039980E+03  .37433990E+07  .51931590E+06 -.33044610E-04  .22108600E+04
 .69184060E-01  .93968250E+03  .38531850E+07  .54591500E+06 -.30839640E-04  .22444050E+04
 .65607060E-01  .99089300E+03  .39690000E+07  .57344830E+06 -.28804550E-04  .22785450E+04
 .62264570E-01  .10440670E+04  .40910780E+07  .60195710E+06 -.26929490E-04  .23128650E+04
 .59137960E-01  .10992500E+04  .42196560E+07  .63149550E+06 -.25205120E-04  .23468720E+04
 .97103430E+03  .29855030E+06  .97688900E+03  .77367930E+04  .26291880E+07  .20910360E+00
 .10000000E+02  .60000000E+01  .20000000E+01  .14000000E+02  .15000000E+02  .10144790E+05
 .97688900E+03  .34448070E+03  .29855030E+06  .23745000E+07 -.48010270E-01  .41906710E+04
 .97950370E+03  .33990660E+03  .27938780E+06  .23773860E+07 -.45367200E-01  .41880790E+04
 .98197010E+03  .33539060E+03  .26047970E+06  .23777420E+07 -.42719240E-01  .41858250E+04
 .98428800E+03  .33093250E+03  .24182290E+06  .23754600E+07 -.40062650E-01  .41838760E+04
 .98645690E+03  .32653160E+03  .22341420E+06  .23704240E+07 -.37393710E-01  .41822130E+04
 .98847580E+03  .32218780E+03  .20525030E+06  .23625120E+07 -.34708180E-01  .41808270E+04
